SMILES,logKow
O=C1c2ccc(O)cc2OC(c2ccc(O)c(O)c2)C1O,0.87
COc1ccnnc1,-0.31
Nc1ccnnc1,-0.53
Cc1cc(C)cc(OC2OC(CO)C(O)C(O)C2O)c1,0.26
OCC1OC(Oc2cccc(C(F)(F)F)c2)C(O)C(O)C1O,0.49
CNC(=O)Nc1ccc(OC)c(Cl)c1,1.76
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1.26
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(C)=O)CC3OC1CC(N)C(O)C(C)O1,1.83
CC(C)(C)c1cccc(OC2OC(CO)C(O)C(O)C2O)c1,1.01
Cc1ccoc1CN(C)C,1.63
N#CCc1cccs1,1.26
O=NN1CCCCCCC1,1.48
O=NN1CCCCCCCC1,2.04
CNC(=O)Nc1cccc(Cl)c1,2.18
CN(C)C(=O)Nc1ccc(Br)cc1,2.19
c1cnc(N2CCNCC2)nc1,0.49
O=C(O)c1ccccc1Nc1cccc(O)c1,3.49
CSc1nnc(CCC(C)C)c(=O)n1N,1.85
CSc1nnc(C2CCCCC2)c(=O)n1N,2.14
CCCCCCc1nnc(SC)n(N)c1=O,2.68
CNc1nnc(C(C)C)c(=O)n1N,0.3
CSc1nnc(C2CCCCO2)c(=O)n1N,0.38
CCc1nnc(SC)n(N)c1=O,0.46
CCCc1nnc(SC)n(N)c1=O,0.93
CSc1nnc(C(C)C)c(=O)n1N,1.01
CSc1nnc(CC(C)C)c(=O)n1N,1.39
CSc1nnc(C(C)(C)C)c(=O)n1N,1.7
Cc1ncc([N+](=O)[O-])n1CCO[N+](=O)[O-],0.81
Cc1nc([N+](=O)[O-])c(Br)n1C,0.44
CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,1.73
CN(C)c1ccc2ccccc2n1,2.81
Cc1ccc([N+](=O)[O-])cn1,0.99
Cc1nc(N)nc(C(Cl)(Cl)Cl)n1,1.77
CCN(CC)CCCC(=O)Nc1c(C)cccc1C,2.06
